config,sex,age,body_type,load_kg,motion,lumbar_bio_peak,lumbar_loaded_peak,shoulder_bio_peak,shoulder_total_peak,elbow_bio_peak,elbow_total_peak
no_suit,female,senior,heavy,20,neutral_stoop_down_R_002__A076,156.39141437,156.39141437,43.824624625,43.824624625,53.953483905000006,53.953483905000006
no_suit,female,senior,heavy,20,neutral_stoop_down_R_001__A077,179.03798531,179.03798531,56.998707355,56.998707355,58.90508961500001,58.90508961500001
no_suit,female,senior,heavy,20,neutral_stoop_down_R_001__A078,120.32772347,120.32772347,37.52493414,37.52493414,52.3395141,52.3395141
no_suit,female,senior,heavy,20,neutral_stoop_down_R_001__A080,126.15565541000001,126.15565541000001,45.94734181,45.94734181,53.48271597,53.48271597
no_suit,female,senior,heavy,20,neutral_stoop_down_R_001__A081,115.99185443,115.99185443,37.428438615,37.428438615,52.0083138,52.0083138
no_suit,female,senior,heavy,20,neutral_stoop_down_R_002__A082,124.3303161,124.3303161,43.96983368,43.96983368,53.536322680000005,53.536322680000005
no_suit,female,senior,heavy,30,neutral_stoop_down_R_002__A073,230.09697551,230.09697551,61.83199108,61.83199108,78.237413915,78.237413915
no_suit,female,senior,heavy,30,neutral_stoop_down_R_002__A079,130.3749,130.3749,58.209721665000004,58.209721665000004,77.655337745,77.655337745
no_suit,female,senior,heavy,30,neutral_stoop_down_R_002__A074,179.55569858,179.55569858,57.047861835000006,57.047861835000006,77.85699125000001,77.85699125000001
no_suit,female,senior,heavy,30,neutral_stoop_down_R_002__A075,205.28361626999998,205.28361626999998,53.30933719,53.30933719,76.600477545,76.600477545
no_suit,female,senior,heavy,30,neutral_stoop_down_R_002__A076,199.84971437000002,199.84971437000002,58.539624625,58.539624625,78.478483905,78.478483905
no_suit,female,senior,heavy,30,neutral_stoop_down_R_001__A077,222.49628531,222.49628531,71.713707355,71.713707355,83.430089615,83.430089615
no_suit,female,senior,heavy,30,neutral_stoop_down_R_001__A078,163.78602347,163.78602347,52.23993414,52.23993414,76.86451410000001,76.86451410000001
no_suit,female,senior,heavy,30,neutral_stoop_down_R_001__A080,169.61395541,169.61395541,60.66234181,60.66234181,78.00771597,78.00771597
